variable,run,value
x1,0,28.204721635713543
x1,1,-0.8046495769160097
x1,2,-2.378072761106091
x1,3,-1.551010502360315
x1,4,-2.5872107012615744
x1,5,0.8735554065857893
x1,6,1.349571408514751
x1,7,-2.1536014164088955
x1,8,2.302518967491792
x1,9,1.6220043175870633
x1,10,5.25096764531733
x1,11,-9.12822688963628
x1,12,-3.2262625440833155
x1,13,3.610282335157071
x1,14,0.058116994914439606
x1,15,2.988973773445029
x1,16,-0.8414203580923231
x1,17,-0.352787186502318
x1,18,2.101501087010239
x1,19,1.997491500107904
x1,20,-0.12409427267709922
x1,21,5.521716415526289
x1,22,-3.4115714214958213
x1,23,-1.397849973028644
x1,24,2.777485038401968
x1,25,-1.5983618135990232
x1,26,-2.690924079821402
x1,27,5.158606128197251
x1,28,-0.3819766464808118
x1,29,2.5255346286069758
x1,30,2.82962702931811
x1,31,-0.5021033375455509
x1,32,-1.1271815653941597
x1,33,-1.1238101207124611
x1,34,-0.7111575147031115
x1,35,3.800301886945057
x1,36,8.639932171102073
x1,37,-2.4682227850804113
x1,38,-2.1750212945619745
x1,39,-1.033537393710395
x1,40,-1.748442614804863
x1,41,3.215143342424416
x1,42,-5.46881044217333
x1,43,-2.362001625477498
x1,44,5.545722775791877
x1,45,-1.0365050180506838
x1,46,1.9094022758581208
x1,47,-6.125825301895678
x1,48,-1.4922959518561223
x1,49,-1.0947902255171444
x1,50,-3.056604852458165
x1,51,-0.023198871345198026
x1,52,2.982922877649195
x1,53,4.084836140989125
x1,54,2.02873519147554
x1,55,-2.365956532000175
x1,56,5.515144953082973
x1,57,3.8049358833496316
x1,58,3.21186606631922
x1,59,-0.5695040945063463
x1,60,-6.202594856721408
x1,61,-2.9897744614910486
x1,62,-4.952321285377385
x1,63,0.5348476520174626
x1,64,2.559249133041948
x1,65,-1.2959833294655303
x1,66,-0.5965060256053633
x1,67,-2.1101197005601535
x1,68,0.7985891269366979
x1,69,-0.48520181772378
x1,70,2.638341222409717
x1,71,0.7518256029848007
x1,72,1.076089596471156
x1,73,-3.37362306482096
x1,74,0.6124870273323824
x1,75,-1.5101563672282154
x1,76,3.053567890398478
x1,77,0.5615756870597169
x1,78,-1.4403482845976743
